cislo_obce,nazev_obce,url
589748,Myslejovice,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589721&xvyber=7103
589756,Němčice nad Hanou,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589730&xvyber=7103
589764,Nezamyslice,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589748&xvyber=7103
589772,Niva,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589756&xvyber=7103
589799,Obědkovice,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589764&xvyber=7103
589802,Ohrozim,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589772&xvyber=7103
589811,Ochoz,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589799&xvyber=7103
589829,Olšany u Prostějova,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589802&xvyber=7103
589837,Ondratice,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589811&xvyber=7103
589845,Otaslavice,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589829&xvyber=7103
589853,Otinoves,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589837&xvyber=7103
557196,Pavlovice u Kojetína,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589845&xvyber=7103
589870,Pěnčín,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589853&xvyber=7103
589888,Pivín,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=557196&xvyber=7103
589896,Plumlov,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589870&xvyber=7103
549983,Polomí,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589888&xvyber=7103
589250,Prostějov,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589896&xvyber=7103
589918,Prostějovičky,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=549983&xvyber=7103
589926,Protivanov,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589250&xvyber=7103
589934,Přemyslovice,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589918&xvyber=7103
589942,Ptení,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589926&xvyber=7103
589951,Raková u Konice,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589934&xvyber=7103
589969,Rakůvka,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589942&xvyber=7103
589977,Rozstání,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589951&xvyber=7103
506770,Seloutky,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589969&xvyber=7103
589993,Skalka,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589977&xvyber=7103
590002,Skřípov,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=506770&xvyber=7103
590011,Slatinky,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589993&xvyber=7103
590029,Smržice,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590002&xvyber=7103
